GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Weather Fetcher,com.moosemorals.weather.types,DailyForecast,21,24,0,0,7,9,7,1,7,1
Weather Fetcher,com.moosemorals.weather.types,HourlyForecast.Builder,0,252,0,0,0,73,0,37,0,37
Weather Fetcher,com.moosemorals.weather.types,HourlyForecast,105,108,0,0,35,37,35,1,35,1
Weather Fetcher,com.moosemorals.weather.types,Current,51,54,0,0,17,19,17,1,17,1
Weather Fetcher,com.moosemorals.weather.types,Location.Builder,0,22,0,0,0,7,0,4,0,4
Weather Fetcher,com.moosemorals.weather.types,Astronomy,12,15,0,0,4,6,4,1,4,1
Weather Fetcher,com.moosemorals.weather.types,Current.Builder,0,127,0,0,0,37,0,19,0,19
Weather Fetcher,com.moosemorals.weather.types,Location,6,9,0,0,2,4,2,1,2,1
Weather Fetcher,com.moosemorals.weather.types,DailyForecast.Builder,0,57,0,0,0,17,0,9,0,9
Weather Fetcher,com.moosemorals.weather.types,Astronomy.Builder,0,36,0,0,0,11,0,6,0,6
Weather Fetcher,com.moosemorals.weather.reports,WeatherReport.Builder,0,67,0,0,0,18,0,8,0,8
Weather Fetcher,com.moosemorals.weather.reports,ErrorReport,18,18,0,0,6,7,2,3,2,3
Weather Fetcher,com.moosemorals.weather.reports,FetchResult,0,34,0,2,0,11,0,7,0,6
Weather Fetcher,com.moosemorals.weather.reports,WeatherReport,6,33,0,0,2,12,2,5,2,5
Weather Fetcher,com.moosemorals.weather.reports,FetchResult.Builder,0,36,0,0,0,11,0,6,0,6
Weather Fetcher,com.moosemorals.weather,Fetcher,100,242,12,18,10,60,9,11,0,5
Weather Fetcher,com.moosemorals.weather,Util,10,96,3,9,3,19,4,5,1,2
Weather Fetcher,com.moosemorals.weather,Fetcher.Builder,20,83,2,2,6,25,4,9,2,9
Weather Fetcher,com.moosemorals.weather.xml,BaseParser,277,79,12,7,35,24,14,10,7,7
Weather Fetcher,com.moosemorals.weather.xml,WeatherParser,136,1504,108,254,35,229,106,153,1,9
Weather Fetcher,com.moosemorals.weather.xml,ErrorParser,9,67,4,10,2,14,4,6,0,2
